,Author,Title,Word Count,Unique Word Count,Vocabulary Score
0,Louisa May Alcott,Little Women,193487,10734,55%
1,George Eliot,Middemarch,323579,15407,48%
2,Henry Fielding,The History of Tom Jones,350683,12727,36%
3,E.M. Forster,A Room with a View,68382,6782,99%
4,Elizabeth Gaskell,Cranford,72568,6484,89%
5,Herman Melville,Moby Dick,214727,16884,79%
6,L.M. Montgomery,The Blue Castle,71411,7028,98%
7,Tobias Smollett,The Adventures of Ferdinand Count Fathom,162009,11106,69%
8,Tobias Smollett,The Expedition of Humphry Clinker,152277,12561,82%
9,Elizabeth von Armin,The Enchanted April,79993,6131,77%